Rk;Name;Born;Pos;GP;G;A;P;PIM;+/-;TOI;ES;PP;SH;ESG;PPG;SHG;GWG;OTG;ESA;PPA;SHA;GWA;OTA;ESP;PPP;SHP;GWP;OTP;PPP%;G/60;A/60;P/60;ESG/60;ESA/60;ESP/60;PPG/60;PPA/60;PPP/60;G/GP;A/GP;P/GP;SHOTS;SH%;HITS;BS;FOW;FOL;FO%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Frank Mahovlich;1938;F;1181;533;570;1103;1054;266;;;;;400;122;11;82;0;383;182;5;86;0;783;304;16;168;0;27.6%;;;;;;;;;;0,451;0,483;0,934;3363;0.0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Marian Hossa;1979;F;1309;525;609;1134;628;245;18:40;13:57;3:18;1:24;348;143;34;85;15;366;231;12;106;12;714;374;46;191;27;33.0%;1,289;1,495;2,784;1,142;1,202;2,344;1,98;3,198;5,178;0,401;0,465;0,866;4229;12.4%;662;294;65;126;34.03%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Bryan Trottier;1956;F;1279;524;901;1425;912;449;;;;;344;161;19;69;1;619;262;20;116;4;963;423;39;185;5;29.7%;;;;;;;;;;0,41;0,704;1,114;2839;18.5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Pat Verbeek;1964;F;1424;522;540;1062;2905;-46;;;;;332;186;4;67;3;350;184;6;66;7;682;370;10;133;10;34.8%;;;;;;;;;;0,367;0,379;0,746;3285;15.9%;;;6;12;33.33%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Dale Hawerchuk;1963;F;1188;518;891;1409;740;-98;;;;;324;182;12;49;4;494;386;11;101;9;818;568;23;150;13;40.3%;;;;;;;;;;0,436;0,75;1,186;3754;13.8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Pierre Turgeon;1969;F;1294;515;812;1327;452;139;;;;;315;190;10;86;11;505;297;10;126;11;820;487;20;212;22;36.7%;;;;;;;;;;0,398;0,628;1,026;3154;16.3%;19;19;3794;3683;50.74%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Jeremy Roenick;1970;F;1363;513;703;1216;1463;153;;;;;301;184;28;92;5;436;247;20;119;8;737;431;48;211;13;35.4%;;;;;;;;;;0,376;0,516;0,892;3281;15.6%;298;77;4406;4409;49.98%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Gilbert Perreault;1950;F;1191;512;814;1326;500;41;;;;;370;134;8;81;0;512;298;4;106;2;882;432;12;187;2;32.6%;;;;;;;;;;0,43;0,683;1,113;3077;16.6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Jean Beliveau;1931;F;1125;507;712;1219;1033;117;;;;;334;173;0;83;0;441;269;2;118;0;775;442;2;201;0;36.3%;;;;;;;;;;0,451;0,633;1,084;2627;0.0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Peter Bondra;1968;F;1081;503;389;892;761;74;;;;;322;149;32;78;6;254;131;4;56;3;576;280;36;134;9;31.4%;;;;;;;;;;0,465;0,36;0,825;3531;14.3%;52;11;9;28;24.32%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Joe Mullen;1957;F;1062;502;561;1063;241;167;;;;;341;150;11;73;5;368;189;4;75;3;709;339;15;148;8;31.9%;;;;;;;;;;0,473;0,528;1,001;2787;18.0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Lanny McDonald;1953;F;1111;500;506;1006;899;39;;;;;350;139;11;54;0;325;177;4;61;0;675;316;15;115;0;31.4%;;;;;;;;;;0,45;0,455;0,905;3445;14.5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Glenn Anderson;1960;F;1129;498;601;1099;1120;201;;;;;334;151;13;85;5;428;166;7;73;3;762;317;20;158;8;28.8%;;;;;;;;;;0,441;0,532;0,973;3109;16.0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Jean Ratelle;1940;F;1280;491;776;1267;276;236;;;;;350;137;4;68;0;560;213;3;108;0;910;350;7;176;0;27.6%;;;;;;;;;;0,384;0,606;0,99;2916;16.8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Norm Ullman;1935;F;1410;490;739;1229;710;7;;;;;366;116;8;60;0;554;172;13;111;0;920;288;21;171;0;23.4%;;;;;;;;;;0,348;0,524;0,872;3426;0.0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Sidney Crosby;1987;F;1039;486;839;1325;699;183;20:49;15:58;4:22;0:28;337;145;4;69;18;497;335;7;144;18;834;480;11;213;36;36.2%;1,348;2,326;3,674;1,218;1,797;3,015;1,914;4,423;6,337;0,468;0,808;1,275;3331;14.6%;892;502;11 820;10 867;52.10%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Brian Bellows;1964;F;1188;485;537;1022;718;-120;;;;;274;198;13;58;7;311;217;9;74;4;585;415;22;132;11;40.6%;;;;;;;;;;0,408;0,452;0,86;3587;13.5%;;;0;3;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
